代碼,名稱,櫃別,類股
1471,首利,上市,電子零組件業
1503,士電,上市,電機機械
1504,東元,上市,電機機械
1506,正道,上市,電機機械
1513,中興電,上市,電機機械
1514,亞力,上市,電機機械
1515,力山,上市,電機機械
1517,利奇,上市,電機機械
1519,華城,上市,電機機械
1526,日馳,上市,電機機械
1527,鑽全,上市,電機機械
1528,恩德,上市,電機機械
1529,樂士,上市,電機機械
1530,亞崴,上市,電機機械
1531,高林股,上市,電機機械
1532,勤美,上市,電機機械
1535,中宇,上市,電機機械
1537,廣隆,上市,電機機械
1538,正峰,上市,電機機械
1539,巨庭,上市,電機機械
1540,喬福,上市,電機機械
1541,錩泰,上市,電機機械
1558,伸興,上市,電機機械
1560,中砂,上市,電機機械
1582,信錦,上市,電子零組件業
1583,程泰,上市,電機機械
1589,永冠-KY,上市,電機機械
1590,亞德客-KY,上市,電機機械
1597,直得,上市,電機機械
2049,上銀,上市,電機機械
2059,川湖,上市,電子零組件業
2301,光寶科,上市,電腦及週邊設備業
2302,麗正,上市,半導體業
2303,聯電,上市,半導體業
2305,全友,上市,電腦及週邊設備業
2308,台達電,上市,電子零組件業
2312,金寶,上市,其他電子業
2313,華通,上市,電子零組件業
2316,楠梓電,上市,電子零組件業
2317,鴻海,上市,其他電子業
2324,仁寶,上市,電腦及週邊設備業
2327,國巨,上市,電子零組件業
2328,廣宇,上市,電子零組件業
2329,華泰,上市,半導體業
2330,台積電,上市,半導體業
2331,精英,上市,電腦及週邊設備業
2337,旺宏,上市,半導體業
2338,光罩,上市,半導體業
2340,台亞,上市,半導體業
2342,茂矽,上市,半導體業
2344,華邦電,上市,半導體業
2347,聯強,上市,電子通路業
2351,順德,上市,半導體業
2352,佳世達,上市,電腦及週邊設備業
2353,宏碁,上市,電腦及週邊設備業
2354,鴻準,上市,其他電子業
2355,敬鵬,上市,電子零組件業
2356,英業達,上市,電腦及週邊設備業
2357,華碩,上市,電腦及週邊設備業
2359,所羅門,上市,其他電子業
2360,致茂,上市,其他電子業
2362,藍天,上市,電腦及週邊設備業
2363,矽統,上市,半導體業
2364,倫飛,上市,電腦及週邊設備業
2365,昆盈,上市,電腦及週邊設備業
2367,燿華,上市,電子零組件業
2368,金像電,上市,電子零組件業
2369,菱生,上市,半導體業
2371,大同,上市,電機機械
2373,震旦行,上市,其他電子業
2375,凱美,上市,電子零組件業
2376,技嘉,上市,電腦及週邊設備業
2377,微星,上市,電腦及週邊設備業
2379,瑞昱,上市,半導體業
2380,虹光,上市,電腦及週邊設備業
2382,廣達,上市,電腦及週邊設備業
2383,台光電,上市,電子零組件業
2385,群光,上市,電子零組件業
2387,精元,上市,電腦及週邊設備業
2388,威盛,上市,半導體業
2390,云辰,上市,其他電子業
2392,正崴,上市,電子零組件業
2395,研華,上市,電腦及週邊設備業
2397,友通,上市,電腦及週邊設備業
2399,映泰,上市,電腦及週邊設備業
2401,凌陽,上市,半導體業
2402,毅嘉,上市,電子零組件業
2404,漢唐,上市,其他電子業
2405,浩鑫,上市,電腦及週邊設備業
2408,南亞科,上市,半導體業
2413,環科,上市,電子零組件業
2414,精技,上市,電子通路業
2415,錩新,上市,電子零組件業
2417,圓剛,上市,電腦及週邊設備業
2420,新巨,上市,電子零組件業
2421,建準,上市,電子零組件業
2423,固緯,上市,其他電子業
2424,隴華,上市,電腦及週邊設備業
2425,承啟,上市,電腦及週邊設備業
2428,興勤,上市,電子零組件業
2430,燦坤,上市,電子通路業
2431,聯昌,上市,電子零組件業
2433,互盛電,上市,其他電子業
2434,統懋,上市,半導體業
2436,偉詮電,上市,半導體業
2440,太空梭,上市,電子零組件業
2441,超豐,上市,半導體業
2442,新美齊,上市,電腦及週邊設備業
2449,京元電子,上市,半導體業
2451,創見,上市,半導體業
2454,聯發科,上市,半導體業
2457,飛宏,上市,電子零組件業
2458,義隆,上市,半導體業
2459,敦吉,上市,其他電子業
2460,建通,上市,電子零組件業
2461,光群雷,上市,其他電子業
2462,良得電,上市,電子零組件業
2464,盟立,上市,其他電子業
2465,麗臺,上市,電腦及週邊設備業
2467,志聖,上市,電子零組件業
2472,立隆電,上市,電子零組件業
2474,可成,上市,其他電子業
2476,鉅祥,上市,電子零組件業
2477,美隆電,上市,其他電子業
2478,大毅,上市,電子零組件業
2481,強茂,上市,半導體業
2482,連宇,上市,其他電子業
2483,百容,上市,電子零組件業
2484,希華,上市,電子零組件業
2488,漢平,上市,其他電子業
2492,華新科,上市,電子零組件業
2493,揚博,上市,電子零組件業
2495,普安,上市,電腦及週邊設備業
2801,彰銀,上市,金融保險業
2809,京城銀,上市,金融保險業
2812,台中銀,上市,金融保險業
2816,旺旺保,上市,金融保險業
2820,華票,上市,金融保險業
2832,台產,上市,金融保險業
2834,臺企銀,上市,金融保險業
2836,高雄銀,上市,金融保險業
2838,聯邦銀,上市,金融保險業
2845,遠東銀,上市,金融保險業
2849,安泰銀,上市,金融保險業
2850,新產,上市,金融保險業
2851,中再保,上市,金融保險業
2852,第一保,上市,金融保險業
2855,統一證,上市,金融保險業
2867,三商壽,上市,金融保險業
2880,華南金,上市,金融保險業
2881,富邦金,上市,金融保險業
2882,國泰金,上市,金融保險業
2883,開發金,上市,金融保險業
2884,玉山金,上市,金融保險業
2885,元大金,上市,金融保險業
2886,兆豐金,上市,金融保險業
2887,台新金,上市,金融保險業
2888,新光金,上市,金融保險業
2889,國票金,上市,金融保險業
2890,永豐金,上市,金融保險業
2891,中信金,上市,金融保險業
2892,第一金,上市,金融保險業
2897,王道銀行,上市,金融保險業
3002,歐格,上市,電腦及週邊設備業
3003,健和興,上市,電子零組件業
3005,神基,上市,電腦及週邊設備業
3006,晶豪科,上市,半導體業
3010,華立,上市,電子通路業
3011,今皓,上市,電子零組件業
3013,晟銘電,上市,電腦及週邊設備業
3014,聯陽,上市,半導體業
3015,全漢,上市,電子零組件業
3016,嘉晶,上市,半導體業
3017,奇鋐,上市,電腦及週邊設備業
3018,同開,上市,其他電子業
3021,鴻名,上市,電子零組件業
3022,威強電,上市,電腦及週邊設備業
3023,信邦,上市,電子零組件業
3026,禾伸堂,上市,電子零組件業
3028,增你強,上市,電子通路業
3030,德律,上市,其他電子業
3032,偉訓,上市,電子零組件業
3033,威健,上市,電子通路業
3034,聯詠,上市,半導體業
3035,智原,上市,半導體業
3036,文曄,上市,電子通路業
3037,欣興,上市,電子零組件業
3041,揚智,上市,半導體業
3042,晶技,上市,電子零組件業
3043,科風,上市,其他電子業
3044,健鼎,上市,電子零組件業
3046,建碁,上市,電腦及週邊設備業
3048,益登,上市,電子通路業
3054,立萬利,上市,半導體業
3055,蔚華科,上市,電子通路業
3057,喬鼎,上市,電腦及週邊設備業
3058,立德,上市,電子零組件業
3060,銘異,上市,電腦及週邊設備業
3090,日電貿,上市,電子零組件業
3092,鴻碩,上市,電子零組件業
3094,聯傑,上市,半導體業
3167,大量,上市,電機機械
3189,景碩,上市,半導體業
3209,全科,上市,電子通路業
3229,晟鈦,上市,電子零組件業
3231,緯創,上市,電腦及週邊設備業
3257,虹冠電,上市,半導體業
3296,勝德,上市,電子零組件業
3305,昇貿,上市,其他電子業
3308,聯德,上市,電子零組件業
3312,弘憶股,上市,電子通路業
3321,同泰,上市,電子零組件業
3338,泰碩,上市,電子零組件業
3376,新日興,上市,電子零組件業
3413,京鼎,上市,半導體業
3416,融程電,上市,電腦及週邊設備業
3432,台端,上市,電子零組件業
3443,創意,上市,半導體業
3450,聯鈞,上市,半導體業
3494,誠研,上市,電腦及週邊設備業
3501,維熹,上市,電子零組件業
3515,華擎,上市,電腦及週邊設備業
3518,柏騰,上市,其他電子業
3528,安馳,上市,電子通路業
3530,晶相光,上市,半導體業
3532,台勝科,上市,半導體業
3533,嘉澤,上市,電子零組件業
3536,誠創,上市,半導體業
3545,敦泰,上市,半導體業
3550,聯穎,上市,電子零組件業
3583,辛耘,上市,半導體業
3588,通嘉,上市,半導體業
3592,瑞鼎,上市,半導體業
3593,力銘,上市,電子零組件業
3605,宏致,上市,電子零組件業
3607,谷崧,上市,電子零組件業
3617,碩天,上市,其他電子業
3645,達邁,上市,電子零組件業
3653,健策,上市,電子零組件業
3661,世芯-KY,上市,半導體業
3665,貿聯-KY,上市,其他電子業
3679,新至陞,上市,電子零組件業
3686,達能,上市,半導體業
3701,大眾控,上市,電腦及週邊設備業
3702,大聯大,上市,電子通路業
3706,神達,上市,電腦及週邊設備業
3711,日月光投控,上市,半導體業
3712,永崴投控,上市,電腦及週邊設備業
3715,定穎投控,上市,電子零組件業
4526,東台,上市,電機機械
4532,瑞智,上市,電機機械
4540,全球傳動,上市,電機機械
4545,銘鈺,上市,電子零組件業
4552,力達-KY,上市,電機機械
4555,氣立,上市,電機機械
4560,強信-KY,上市,電機機械
4562,穎漢,上市,電機機械
4564,元翎,上市,電機機械
4566,時碩工業,上市,電機機械
4571,鈞興-KY,上市,電機機械
4572,駐龍,上市,電機機械
4576,大銀微系統,上市,電機機械
4583,台灣精銳,上市,電機機械
4912,聯德控股-KY,上市,電子零組件業
4915,致伸,上市,電子零組件業
4916,事欣科,上市,電腦及週邊設備業
4919,新唐,上市,半導體業
4927,泰鼎-KY,上市,電子零組件業
4938,和碩,上市,電腦及週邊設備業
4943,康控-KY,上市,電子零組件業
4952,凌通,上市,半導體業
4958,臻鼎-KY,上市,電子零組件業
4961,天鈺,上市,半導體業
4967,十銓,上市,半導體業
4968,立積,上市,半導體業
4989,榮科,上市,電子零組件業
4999,鑫禾,上市,電子零組件業
5215,科嘉-KY,上市,電腦及週邊設備業
5222,全訊,上市,半導體業
5225,東科-KY,上市,其他電子業
5258,虹堡,上市,電腦及週邊設備業
5269,祥碩,上市,半導體業
5285,界霖,上市,半導體業
5288,豐祥-KY,上市,電機機械
5434,崇越,上市,電子通路業
5469,瀚宇博,上市,電子零組件業
5471,松翰,上市,半導體業
5876,上海商銀,上市,金融保險業
5880,合庫金,上市,金融保險業
6005,群益證,上市,金融保險業
6024,群益期,上市,金融保險業
6108,競國,上市,電子零組件業
6115,鎰勝,上市,電子零組件業
6117,迎廣,上市,電腦及週邊設備業
6128,上福,上市,電腦及週邊設備業
6133,金橋,上市,電子零組件業
6139,亞翔,上市,其他電子業
6141,柏承,上市,電子零組件業
6153,嘉聯益,上市,電子零組件業
6155,鈞寶,上市,電子零組件業
6166,凌華,上市,電腦及週邊設備業
6189,豐藝,上市,電子通路業
6191,精成科,上市,電子零組件業
6192,巨路,上市,其他電子業
6196,帆宣,上市,其他電子業
6197,佳必琪,上市,電子零組件業
6201,亞弘電,上市,其他電子業
6202,盛群,上市,半導體業
6205,詮欣,上市,電子零組件業
6206,飛捷,上市,電腦及週邊設備業
6213,聯茂,上市,電子零組件業
6215,和椿,上市,其他電子業
6224,聚鼎,上市,電子零組件業
6230,尼得科超眾,上市,電腦及週邊設備業
6235,華孚,上市,電腦及週邊設備業
6239,力成,上市,半導體業
6243,迅杰,上市,半導體業
6257,矽格,上市,半導體業
6269,台郡,上市,電子零組件業
6271,同欣電,上市,半導體業
6277,宏正,上市,電腦及週邊設備業
6281,全國電,上市,電子通路業
6282,康舒,上市,電子零組件業
6283,淳安,上市,其他電子業
6409,旭隼,上市,其他電子業
6412,群電,上市,電子零組件業
6414,樺漢,上市,電腦及週邊設備業
6415,矽力*-KY,上市,半導體業
6438,迅得,上市,其他電子業
6449,鈺邦,上市,電子零組件業
6451,訊芯-KY,上市,半導體業
6515,穎崴,上市,半導體業
6525,捷敏-KY,上市,半導體業
6531,愛普*,上市,半導體業
6533,晶心科,上市,半導體業
6552,易華電,上市,半導體業
6558,興能高,上市,其他電子業
6573,虹揚-KY,上市,半導體業
6579,研揚,上市,電腦及週邊設備業
6591,動力-KY,上市,電腦及週邊設備業
6669,緯穎,上市,電腦及週邊設備業
6672,騰輝電子-KY,上市,電子零組件業
6691,洋基工程,上市,其他電子業
6698,旭暉應材,上市,其他電子業
6715,嘉基,上市,電子零組件業
6719,力智,上市,半導體業
6743,安普新,上市,其他電子業
6756,威鋒電子,上市,半導體業
6770,力積電,上市,半導體業
6776,展碁國際,上市,電子通路業
6781,AES-KY,上市,電子零組件業
6789,采鈺,上市,半導體業
6799,來頡,上市,半導體業
6830,汎銓,上市,其他電子業
8016,矽創,上市,半導體業
8021,尖點,上市,其他電子業
8028,昇陽半導體,上市,半導體業
8039,台虹,上市,電子零組件業
8046,南電,上市,電子零組件業
8070,長華*,上市,電子通路業
8072,陞泰,上市,電子通路業
8081,致新,上市,半導體業
8103,瀚荃,上市,電子零組件業
8110,華東,上市,半導體業
8112,至上,上市,電子通路業
8114,振樺電,上市,電腦及週邊設備業
8131,福懋科,上市,半導體業
8150,南茂,上市,半導體業
8163,達方,上市,電腦及週邊設備業
8201,無敵,上市,其他電子業
8210,勤誠,上市,電腦及週邊設備業
8213,志超,上市,電子零組件業
8222,寶一,上市,電機機械
8249,菱光,上市,電子零組件業
8261,富鼎,上市,半導體業
8271,宇瞻,上市,半導體業
8374,羅昇,上市,電機機械
8499,鼎炫-KY,上市,其他電子業
8996,高力,上市,電機機械
9912,偉聯,上市,電腦及週邊設備業
t00,加權,上市,指數
